1.004095231654663634e+00 1.006176930518791313e+00 9.866701342795787255e-01 9.598497306434939924e-01 9.407283654313750576e-01 1.011386522118789877e+00 9.133122193033168523e-01 1.005572885901576230e+00 1.277471059231553019e+00 1.079679790664908490e+00 1.003133758684606969e+00
9.999266891673067592e-01 9.614453372285730604e-01 9.627249371246152654e-01 9.248722241941804700e-01 9.873384003111386198e-01 8.812602351402309964e-01 8.416914156798981361e-01 9.039545501180374920e-01 1.074915723223312636e+00 1.026092579988756137e+00 1.001304456066657300e+00
1.009384646338930880e+00 1.107585782464248103e+00 1.021878831350360395e+00 8.787073689431638135e-01 1.053797212622003432e+00 9.656508670726312582e-01 9.846762804729043417e-01 1.018990725558589272e+00 1.271510975293137502e+00 1.127472852960367478e+00 1.003574271768043591e+00
9.981075430350122568e-01 7.202540336246240349e-01 8.957547966108694304e-01 1.008731567494655090e+00 9.211947786092289370e-01 9.457135202508708538e-01 1.144050974371560114e+00 1.022345029085913071e+00 8.769856907719708605e-01 1.028823186325185546e+00 1.000071474231612356e+00
9.985130453835148190e-01 1.198692609607076465e+00 1.044295766438090967e+00 8.461476777249034020e-01 1.167137775336334560e+00 1.009312131222124265e+00 1.026134787739531706e+00 8.165250502091289109e-01 9.715287522372574314e-01 1.053778898301477085e+00 9.908683265262810957e-01
9.992555994190814861e-01 9.595914124602978879e-01 1.027159811707203163e+00 1.122325617192557967e+00 1.008254119352391953e+00 9.009000465069927355e-01 9.957223749522008394e-01 1.000271623773890228e+00 8.408472207620087957e-01 6.528156825753950177e-01 9.973264176444623930e-01
9.926349133474917652e-01 9.419592085226885514e-01 9.293081546335549836e-01 8.151221898203662164e-01 1.189587483368835352e+00 1.095358157933352228e+00 9.801196067992046235e-01 1.018314651844935304e+00 8.780303756637356516e-01 7.744394046706920554e-01 9.968624663368008676e-01
1.018236363261798338e+00 1.166693572104126053e+00 1.045413584187685485e+00 1.128633115137177567e+00 1.118720901468520212e+00 8.581962470910388108e-01 7.508198181972087770e-01 1.060368567860687783e+00 9.775465244151845257e-01 7.051384467317967086e-01 9.945377000960999858e-01
1.012395870882200066e+00 9.871344259766717810e-01 9.779015456894472047e-01 9.055203247462964011e-01 1.214578159938027424e+00 9.863366478103057222e-01 9.664764009704053249e-01 1.145400521647579550e+00 1.270447204009085729e+00 1.134899259879281974e+00 9.803224480306581556e-01
1.003514530021530904e+00 1.119174066369007070e+00 9.095825943377431333e-01 1.101941282299609970e+00 1.004753372676767453e+00 1.148618931291371048e+00 8.752883347042073048e-01 1.066283751774436128e+00 1.082871156453046879e+00 1.027475336547144291e+00 1.001609849655474171e+00
1.010526808021468881e+00 6.630021965658643435e-01 1.032867861145781552e+00 1.003722686782585694e+00 9.755761084088719892e-01 1.013838014413091626e+00 1.146607159349161575e+00 9.742024940983311510e-01 1.119054586643606575e+00 8.673024111565665883e-01 9.853106264008238968e-01
1.011225370953224623e+00 1.152528121574290187e+00 1.086861243625451001e+00 1.044674602690320864e+00 6.859990795211485803e-01 1.048908350141406931e+00 1.047655694009550054e+00 1.020526951903050650e+00 1.120764018519581739e+00 8.349057668192624293e-01 9.861375285336286822e-01
1.020792550238275309e+00 1.249865148694762507e+00 9.809061458853604032e-01 8.419277545110797067e-01 1.332022546210783975e+00 9.302856138763986316e-01 9.686635916135064583e-01 9.425530013186776968e-01 8.959627801759567634e-01 1.109948067492083634e+00 9.953248232094212833e-01
